Period;Year;BookId;AccountId;AccountName;DocumentId;ConceptId;NumberId;LocationId;Date;Debito;Credito;ClientId;ClientName;CostCenterId;BusinessId;ProjectId;BaseRetention;Value1;Module;Observation;Invoice;CheckNumber;State;RowId;Nature;Conciliate;CurrencyId;CostCenterName;EntryId;SourceId;Contractor
5;2026;0;72050101;SUELDOS Y SALARIOS;AP ;AP ;1;1;31/05/2026 00:00:00;6023911,0000;0,0000;700000001;Empleado 1;2001;0;1030;0,0000;155,0000;N;;;;P;1;D;;0;WAREHOUSE;900001001;0;False
5;2026;0;72056901;APORTES ENTIDADES PROMOTORAS SALUD EPS;AP ;AP ;1;1;31/05/2026 00:00:00;512000,0000;0,0000;700000001;Empleado 1;2001;0;1030;0,0000;155,0000;N;;;;P;2;D;;0;WAREHOUSE;900001001;0;False
5;2026;0;72057001;APORTES A FONDOS DE PENSIONES Y/O CESANTIAS;AP ;AP ;1;1;31/05/2026 00:00:00;722900,0000;0,0000;700000001;Empleado 1;2001;0;1030;0,0000;155,0000;N;;;;P;3;D;;0;WAREHOUSE;900001001;0;False
5;2026;0;72050101;SUELDOS Y SALARIOS;AP ;AP ;2;1;31/05/2026 00:00:00;2378248,0000;0,0000;700000002;Empleado 2;2001;0;1030;0,0000;136,0000;N;;;;P;4;D;;0;WAREHOUSE;900001002;0;False
5;2026;0;72056901;APORTES ENTIDADES PROMOTORAS SALUD EPS;AP ;AP ;2;1;31/05/2026 00:00:00;202200,0000;0,0000;700000002;Empleado 2;2001;0;1030;0,0000;136,0000;N;;;;P;5;D;;0;WAREHOUSE;900001002;0;False
5;2026;0;72057001;APORTES A FONDOS DE PENSIONES Y/O CESANTIAS;AP ;AP ;2;1;31/05/2026 00:00:00;285400,0000;0,0000;700000002;Empleado 2;2001;0;1030;0,0000;136,0000;N;;;;P;6;D;;0;WAREHOUSE;900001002;0;False
5;2026;0;72050101;SUELDOS Y SALARIOS;AP ;AP ;3;1;31/05/2026 00:00:00;2672899,0000;0,0000;700000003;Empleado 3;2001;0;1030;0,0000;748,0000;N;;;;P;7;D;;0;WAREHOUSE;900001003;0;False
5;2026;0;72056901;APORTES ENTIDADES PROMOTORAS SALUD EPS;AP ;AP ;3;1;31/05/2026 00:00:00;227200,0000;0,0000;700000003;Empleado 3;2001;0;1030;0,0000;748,0000;N;;;;P;8;D;;0;WAREHOUSE;900001003;0;False
5;2026;0;72057001;APORTES A FONDOS DE PENSIONES Y/O CESANTIAS;AP ;AP ;3;1;31/05/2026 00:00:00;320700,0000;0,0000;700000003;Empleado 3;2001;0;1030;0,0000;748,0000;N;;;;P;9;D;;0;WAREHOUSE;900001003;0;False
5;2026;0;72050101;SUELDOS Y SALARIOS;AP ;AP ;4;1;31/05/2026 00:00:00;2708883,0000;0,0000;700000004;Empleado 4;2001;0;1030;0,0000;260,0000;N;;;;P;10;D;;0;WAREHOUSE;900001004;0;False
